state_name,state_abb,state_fips,cd_fips,cd_name,indiv_label,indiv_with,indiv_without,indiv_increase,indiv_perc,couple_label,couple_with,couple_without,couple_increase,couple_perc,family_label,family_with,family_without,family_increase,family_perc,notes
Alabama,AL,01,01,Alabama District 1,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32313,25088,347%,"Family of four, $130,000 (404% FPL)",11050,22776,11726,106%,NA
Alabama,AL,01,02,Alabama District 2,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32710,25485,353%,"Family of four, $130,000 (404% FPL)",11050,23056,12006,109%,NA
Alabama,AL,01,03,Alabama District 3,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32687,25462,352%,"Family of four, $130,000 (404% FPL)",11050,23040,11990,109%,NA
Alabama,AL,01,04,Alabama District 4,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32588,25363,351%,"Family of four, $130,000 (404% FPL)",11050,22970,11920,108%,NA
Alabama,AL,01,05,Alabama District 5,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,34279,27054,374%,"Family of four, $130,000 (404% FPL)",11050,24162,13112,119%,NA
Alabama,AL,01,06,Alabama District 6,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,33105,25880,358%,"Family of four, $130,000 (404% FPL)",11050,23334,12284,111%,NA
Alabama,AL,01,07,Alabama District 7,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,32579,25354,351%,"Family of four, $130,000 (404% FPL)",11050,22964,11914,108%,NA
Alaska,AK,02,00,Alaska At-large District,"45-year-old individual, $40,000 (204% poverty)",864,2699,1835,212%,"60-year-old couple, $106,000 (401% poverty)",9010,52594,43584,484%,"Family of four, $162,000 (403% poverty)",13770,39591,25821,188%,Note: Incomes are based on Alaska's state-specific poverty levels
Arizona,AZ,04,01,Arizona District 1,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,24668,17443,241%,"Family of four, $130,000 (404% FPL)",11050,18569,7519,68%,NA
Arizona,AZ,04,02,Arizona District 2,"45-year-old individual, $32,000 (204% FPL)",691,2159,1468,212%,"60-year-old couple, $85,000 (401% FPL)",7225,37132,29907,414%,"Family of four, $130,000 (404% FPL)",11050,27952,16902,153%,NA
